id_aluno,nome,sobrenome,dt_nascimento,cpf,sexo_biologico,dt_ingresso,fk_curso
98,Luiza,Almeida,2003-10-10,046.876.423-45,F,2023-01-01,1
107,Vanessa,Lima,2002-09-20,189.635.083-80,F,2023-07-01,1
110,Thiago,Sousa,2003-05-22,017.592.093-96,M,2023-07-01,1
114,Renato,Barros,2002-07-15,920.864.223-85,M,2023-07-01,1
96,Ana,Melo,2003-09-05,366.220.533-50,F,2023-01-01,1
148,Ana,Barros,2003-09-15,565.820.110-08,F,2022-01-01,2
105,Beatriz,Rodrigues,2002-08-12,510.528.873-05,F,2023-07-01,1
186,Aline,Silva,2002-10-01,742.938.299-40,F,2022-07-01,2
82,José,Hass,2003-05-01,273.918.274-09,M,2023-01-01,1
136,Beatriz,Alves,2003-04-01,032.338.430-44,F,2022-01-01,2
119,Júlia Gabriela,Santos,2003-04-15,685.072.363-06,F,2023-07-01,1
83,Bianca,Santana,2003-11-10,584.882.253-05,F,2023-01-01,1
130,Patricia,Fernandes,2002-08-18,288.987.920-71,F,2022-01-01,2
131,Raul,Cavalcanti,2002-04-22,627.211.453-02,M,2022-01-01,2
90,Esther,Barros,2004-09-15,565.820.173-08,F,2023-01-01,1
115,Juliana,Rócio,2003-02-28,104.327.013-06,F,2023-07-01,1
109,Jade,Silva,2002-10-01,742.938.293-40,F,2023-07-01,1
132,Luciana,Melo,2003-02-28,720.549.617-70,F,2022-01-01,2
133,Marcelo,Lima,2002-07-07,783.255.113-38,M,2022-01-01,2
215,Otávio,Gonçalves,2003-06-21,690.733.283-09,M,2023-01-01,2
193,Oliver,da Costa Silveira,2002-08-10,876.328.890-82,M,2022-07-01,2
141,Kael,Santana,2002-11-10,584.883.250-55,M,2022-01-01,2
144,Isadora,Pereira,2003-07-05,147.736.460-00,F,2022-01-01,2
190,Gina,Gomes,2003-01-10,457.832.580-80,F,2022-07-01,2
134,Patrícia,Rocha,2003-01-17,426.191.210-83,F,2022-01-01,2
135,Ricardo,Gonçalves,2002-06-21,670.933.280-09,M,2022-01-01,2
139,Renan,Correia,2002-09-20,643.711.430-73,M,2022-01-01,2
147,Pedro,Moraes,2002-12-10,092.730.880-45,M,2022-01-01,2
149,Rafaela,Ferreira,2003-01-25,428.498.300-93,F,2022-01-01,2
152,Thiago,Silva,2002-08-22,713.205.080-05,M,2022-01-01,2
155,Bruna,Carvalho,2003-04-20,693.881.130-20,F,2022-01-01,2
80,Bruno,Barbosa,2003-05-15,440.850.154.04,M,2023-01-01,1
100,Bárbara,Nascimento,2004-01-12,547.028.273-05,F,2023-07-01,1
138,Camila,Dias,2003-05-15,440.800.150-44,F,2022-01-01,2
92,Camila,Costa,2003-07-01,957.064.033-08,F,2023-01-01,1
157,Carla,Vasconcellos,2003-05-01,954.808.930-95,F,2022-01-01,2
128,Carlos,Silva,2003-05-12,052.778.850-24,M,2022-01-01,2
121,Carolina,Gonçalves,2003-05-01,950.246.033-06,F,2023-07-01,1
111,Caroline,Ferreira,2002-11-12,274.965.863-09,F,2023-07-01,1
99,Cristian,Oliveira,2004-05-01,954.878.933-00,M,2023-01-01,1
101,Eduardo,Barbosa,2003-06-30,217.479.583-77,M,2023-07-01,1
142,Elisa,Cruz,2003-06-20,301.159.880-03,F,2022-01-01,2
137,João Miguel,Nunes,2002-10-30,202.956.910-91,M,2022-01-01,2
143,Felipo,Cardoso,2002-12-30,825.689.010-01,M,2022-01-01,2
91,Fernando,Ferreira,2004-01-25,488.498.303-93,M,2023-01-01,1
120,Gabriel,Ferreira,2002-10-30,230.927.303-93,M,2023-07-01,1
89,Ravi,Moraes,2003-12-10,092.734.883-45,M,2023-01-01,1
153,Vita,Gonçalves,2003-03-03,685.421.380-69,F,2022-01-01,2
86,Gabriela,Gonçalves,2004-07-05,145.736.463-00,F,2023-01-01,1
77,Maitê,Gonçalves,2003-06-21,690.933.283-09,F,2023-01-01,1
150,Giovanni,Costa,2002-07-01,957.364.030-06,M,2022-01-01,2
112,Bryan,Melo,2003-06-25,739.503.313-66,M,2023-07-01,1
84,Théo,Cruz,2003-06-20,301.149.883-03,M,2023-01-01,1
156,Noah,Almeida,2002-10-10,046.879.420-95,M,2022-01-01,2
108,Samuel,Oliveira,2003-04-05,463.946.243-66,M,2023-07-01,1
97,Gustavo,Torres,2004-04-20,693.861.133-00,M,2023-01-01,1
73,Isabela,Cavalcanti,2003-04-22,677.211.483-02,F,2023-01-01,1
117,Isabella,Silva,2003-03-05,403.789.783-47,F,2023-07-01,1
146,Laura,Gomes,2003-08-01,904.187.960-55,F,2022-01-01,2
81,Laura,Correia,2003-09-20,643.761.434-73,F,2023-01-01,1
224,Aline,Pereira,2004-07-05,145.739.463-00,F,2023-01-01,2
226,Amanda,Gomes,2004-08-01,904.187.763-05,F,2023-01-01,2
180,Viviane,Pinto,2002-07-20,819.161.280-60,F,2022-07-01,2
187,Rodrigo,Sousa,2003-05-22,017.592.190-96,M,2022-07-01,2
200,Mariana,Barbosa,2003-06-20,088.368.300-93,F,2022-07-01,2
214,Ana,Rocha,2003-01-17,427.191.213-13,F,2023-01-01,2
177,André,Nascimento,2003-01-12,547.628.270-83,M,2022-07-01,2
235,Benjamin,Constant,2004-04-20,693.861.633-00,M,2023-01-01,2
211,Bernardo,Cavalcanti,2003-04-22,647.211.483-02,M,2023-01-01,2
271,Brenda,da Silva,2002-10-01,742.938.593-40,F,2023-07-01,2
182,Bruna,Rodrigues,2002-08-12,510.558.870-05,F,2022-07-01,2
223,Bruno,Oliveira,2003-12-30,825.919.013-01,M,2023-01-01,2
228,Carol,Silveira,2004-09-15,565.820.175-08,F,2023-01-01,2
210,Mariana,Fernandes,2003-08-18,188.987.920-77,F,2023-01-01,2
213,Raul,Lima,2003-07-07,783.285.123-28,M,2023-01-01,2
217,Vitor,Nunes,2003-10-30,202.956.073-91,M,2023-01-01,2
219,Rodrigo,Correia,2003-09-20,643.561.434-73,M,2023-01-01,2
220,Nathalia,Campos,2003-05-01,273.418.274-09,F,2023-01-01,2
221,Luiz,Santana,2003-11-10,584.882.353-05,M,2023-01-01,2
222,Cristina,Cruz,2003-06-20,301.142.883-03,F,2023-01-01,2
233,Renato,Gonçalves,2004-03-03,188.421.383-09,M,2023-01-01,2
234,Luiza,Melo,2003-09-05,366.220.537-50,F,2023-01-01,2
216,Anna,Abbot,2003-04-01,032.336.834-04,F,2023-01-01,2
140,Natasha,Romanoff,2003-05-01,272.918.270-09,F,2022-01-01,2
212,Patricia,Rodrigo,2003-03-01,720.523.627-70,F,2023-01-01,2
227,Ronaldo,Moraes,2003-12-10,092.734.683-45,M,2023-01-01,2
229,Manuel,Neuer,2004-01-25,488.598.303-93,M,2023-01-01,2
199,Alexandre,Francisco,2002-11-10,700.620.570-08,M,2022-07-01,2
154,Sergio,Ramos,2002-09-05,366.220.530-70,M,2022-01-01,2
191,Marcelo,Júnior,2002-07-15,920.864.620-85,M,2022-07-01,2
179,Declan,Rice,2003-02-05,350.824.400-49,M,2022-07-01,2
195,Joshua,Kimmich,2002-09-20,127.681.070-92,M,2022-07-01,2
145,Arjen ,Robben,2002-11-22,867.891.460-42,M,2022-01-01,2
151,Selena,Gomez,2003-02-12,033.240.680-82,F,2022-01-01,2
231,Vinicius,Júnior,2004-02-12,033.240.683-82,M,2023-01-01,2
189,Valdemir,Melo,2003-06-25,739.503.410-66,M,2022-07-01,2
183,Daniel,Santos,2003-03-18,889.738.620-71,M,2022-07-01,2
264,Davi,Silveira,2003-02-05,340.924.403-49,M,2023-07-01,2
269,Eloá,Costa,2002-09-20,189.635.093-80,F,2023-07-01,2
218,Evelin,Barbosa,2003-05-15,446.850.154-04,F,2023-01-01,2
181,Henry,Fernandes,2003-02-25,003.456.810-33,M,2022-07-01,2
268,Felipe,Santos,2003-03-18,889.788.023-71,M,2023-07-01,2
236,Fernanda,Almeida,2003-10-10,046.856.423-45,F,2023-01-01,2
197,Davi,Ferreira,2002-10-30,230.327.300-93,M,2022-07-01,2
270,Matteo,Oliveira,2003-04-05,443.946.243-66,M,2023-07-01,2
185,Vicente,Oliveira,2003-04-05,463.846.240-66,M,2022-07-01,2
225,Murilo,Cardoso,2003-11-22,867.891.463-42,M,2023-01-01,2
230,Giovanna,Costa,2003-07-01,957.034.033-08,F,2023-01-01,2
198,Isis,Gonçalves,2003-05-01,940.246.030-06,F,2022-07-01,2
262,João,Nascimento,2004-01-12,567.028.273-05,M,2023-07-01,2
209,João,Silva,2003-07-12,880.228.857-24,M,2023-01-01,2
192,Juliana,Santos,2003-02-28,104.327.016-06,F,2022-07-01,2
267,Viviane,Rodrigues,2002-08-12,710.528.873-05,F,2023-07-01,2
278,Lucas,Oliveira,2002-08-10,876.529.893-82,M,2023-07-01,2
79,Fernanda,Oliveira,2003-10-30,202.956.013-91,F,2023-01-01,1
282,Bento,Ferreira,2002-10-30,290.927.303-93,M,2023-07-01,2
283,Heloisa,Gonçalves,2003-05-01,150.246.033-06,F,2023-07-01,2
281,Julia,Santos,2003-04-15,685.078.363-06,F,2023-07-01,2
184,Sarah,Lima,2002-09-20,189.635.070-80,F,2022-07-01,2
279,Maria Cecília,Novara,2003-03-05,403.689.783-47,F,2023-07-01,2
194,Isabella,Bernardi,2003-03-05,403.789.780-47,F,2022-07-01,2
196,Julia,Camavinga,2003-04-15,685.072.320-06,F,2022-07-01,2
277,Juliana,Hidalgo,2003-02-28,104.427.013-06,F,2023-07-01,2
188,Clara,Ferreira,2002-11-12,274.963.860.09,F,2022-07-01,2
273,Marina,Ferreira,2002-11-12,274.865.863-09,F,2023-07-01,2
178,Maria Luísa,Rogers,2002-06-30,217.779.580-77,F,2022-07-01,2
263,Lauana,Stark,2003-06-30,237.479.583-77,F,2023-07-01,2
275,Olívia,Gomes,2003-01-10,457.802.483-80,F,2023-07-01,2
285,Luna,Barbosa,2003-06-20,088.598.303-93,F,2023-07-01,2
265,Sasha,Pinto,2002-07-20,815.161.883-60,F,2023-07-01,2
284,Raphael,Assis,2002-11-10,700.622.173-08,M,2023-07-01,2
276,Renan,Cardoso,2002-07-15,920.834.223-85,M,2023-07-01,2
266,Chico,Guardiola,2003-02-25,603.856.813-33,M,2023-07-01,2
272,Gabriel,Magalhães,2003-05-22,017.572.093-96,M,2023-07-01,2
232,Tathianna,Silva,2003-08-22,713.205.083-05,M,2023-01-01,2
280,Thiago,Alcantara,2002-09-20,127.782.073-92,M,2023-07-01,2
274,Valdecir,Melo,2003-06-25,739.593.313-66,M,2023-07-01,2
